Enhetsnavn;EnhetsId;Fylke;Kommune;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Akershus fylke (utgått);2;Akershus fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;3044;Antall personer
Aust-Agder fylke (utgått);9;Aust-Agder fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;671;Antall personer
Buskerud fylke (utgått);6;Buskerud fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;1292;Antall personer
Finnmark Finnmárku fylke (utgått);20;Finnmark Finnmárku fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;482;Antall personer
Hedmark fylke (utgått);4;Hedmark fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;997;Antall personer
Hordaland fylke (utgått);12;Hordaland fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;2335;Antall personer
Møre og Romsdal fylke;15;Møre og Romsdal fylke;;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;1413;Antall personer
Nordland fylke;18;Nordland fylke;;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;1517;Antall personer
Oppland fylke (utgått);5;Oppland fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;942;Antall personer
Oslo fylke;3;Oslo fylke;;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;2109;Antall personer
Rogaland fylke;11;Rogaland fylke;;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;2320;Antall personer
Sogn og Fjordane fylke (utgått);14;Sogn og Fjordane fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;689;Antall personer
Telemark fylke (utgått);8;Telemark fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;857;Antall personer
Troms Romsa fylke (utgått);19;Troms Romsa fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;1006;Antall personer
Trøndelag fylke;50;Trøndelag fylke;;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;2453;Antall personer
Vest-Agder fylke (utgått);10;Vest-Agder fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;1023;Antall personer
Vestfold fylke (utgått);7;Vestfold fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;1149;Antall personer
Østfold fylke (utgått);1;Østfold fylke (utgått);;Videregående skole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2018-2019;Offentlig;Alle trinn;Begge kjønn;1403;Antall personer
