EnhetNivaa	Nasjonaltkode	Fylkekode	Nasjonalt	Fylke	2022-23.Alle kjønn.Antall lærere
2	I	42	Hele landet	Agder	1 640
2	I	34	Hele landet	Innlandet	1 811
2	I	15	Hele landet	Møre og Romsdal	1 363
2	I	18	Hele landet	Nordland	1 363
2	I	03	Hele landet	Oslo	2 271
2	I	11	Hele landet	Rogaland	2 398
2	I	54	Hele landet	Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku	1 416
2	I	50	Hele landet	Trøndelag - Trööndelage	2 332
2	I	38	Hele landet	Vestfold og Telemark	1 940
2	I	46	Hele landet	Vestland	3 062
2	I	30	Hele landet	Viken	5 909
